FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS, LATITUDE,LONGITUDE,OWNER_CODE, OWNER_DESCR, STATE,COUNTY,FIPS_CODE, FIPS_NAME, Shape,DISCOVERY_DATE,CONT_DATE
2016,3712.00,F,,,,,,,,San Luis Obispo,,5/18/2016,5/20/2016
2016,3876.00,F,,,,,,,,Monterey,,5/22/2016,5/25/2016
2016,2520.00,F,,,,,,,,Monterey,,6/4/2016,6/17/2016
2016,2860.00,F,,,,,,,,Siskiyou,,6/7/2016,6/30/2016
2016,7474.00,G,,,,,,,,Santa Barbara,,6/15/2016,7/12/2016
2016,7609.00,G,,,,,,,,San Diego,,6/19/2016,6/30/2016
2016,2304.00,F,,,,,,,,Ventura,,6/19/2016,7/17/2016
2016,5399.00,G,,,,,,,,Los Angeles,,6/20/2016,7/23/2016
2016,48019.00,G,,,,,,,,Kern,,6/23/2016,7/12/2016
2016,5646.00,G,,,,,,,,Placer,,6/28/2016,7/18/2016
2016,1785.00,F,,,,,,,,Kern,,7/1/2016,7/11/2016
2016,2944.00,F,,,,,,,,Fresno,,7/1/2016,7/5/2016
2016,1109.00,F,,,,,,,,Los Angeles,,7/9/2016,7/16/2016
2016,1245.00,F,,,,,,,,San Diego,,7/21/2016,7/30/2016
2016,41432.00,G,,,,,,,,Los Angeles,,7/22/2016,8/3/2016
2016,132100.00,G,,,,,,,,Monterey,,7/22/2016,10/12/2016
2016,2241.00,F,,,,,,,,Fresno,,7/30/2016,8/9/2016
2016,5731.00,G,,,,,,,,Yolo,,8/2/2016,8/12/2016
2016,8110.00,G,,,,,,,,San Bernardino,,8/7/2016,8/16/2016
2016,7050.00,G,,,,,,,,Fresno,,8/9/2016,8/18/2016
2016,46344.00,G,,,,,,,,San Luis Obispo,,8/13/2016,9/6/2016
2016,3929.00,G,,,,,,,,Lake,,8/13/2016,8/26/2016
2016,36274.00,G,,,,,,,,San Bernardino,,8/16/2016,8/23/2016
2016,29322.00,G,,,,,,,,Kern,,8/16/2016,9/30/2016
2016,32606.00,G,,,,,,,,Santa Barbara,,8/18/2016,9/16/2016
2016,33867.00,G,,,,,,,,Siskiyou,,8/27/2016,9/17/2016
2016,1470.00,F,,,,,,,,Riverside,,8/30/2016,9/2/2016
2016,2575.00,F,,,,,,,,Lassen,,9/11/2016,9/22/2016
2016,5443.00,G,,,,,,,,Mono,,9/17/2016,10/15/2016
2016,12518.00,G,,,,,,,,Santa Barbara,,9/17/2016,9/24/2016
2016,1547.00,F,,,,,,,,Sonoma,,9/25/2016,9/29/2016
2016,1080.00,F,,,,,,,,Tuolumne,,9/26/2016,10/4/2016
2016,4474.00,F,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2016,0.00,A,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2016,0.00,B,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2016,0.00,C,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2016,0.00,D,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2016,0.00,E,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2016,0.00,F,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
